Sl. No.,Districts,Physical Progress - Construction of Houses - Sanctioned ( in Nos.),Physical Progress - Construction of Houses - Grounded for Construction ( in Nos.),Physical Progress - Construction of Houses - Completed/Delivered ( in Nos.)
1,Agra,50882,50801,48769
2,Aligarh,27268,27008,22547
3,Ambedkar Nagar,21552,20682,12607
4,Amethi,8086,7565,5016
5,Amroha,11865,9747,9420
6,Auraiya,9710,9582,6331
7,Azamgarh,16186,16186,14166
8,Bagpat,12688,12144,7587
9,Bahraich,11123,11079,8748
10,Balarampur,5388,5073,2621
11,Ballia,20966,20508,14166
12,Banda,19292,14066,13212
13,Barabanki,24840,24390,16686
14,Bareilly,32984,32903,23803
15,Basti,16111,15335,11554
16,Bhadohi,27226,27196,25833
17,Bijnor,25623,25093,20773
18,Budaun,18104,18061,16354
19,Bulandshahr,48168,47822,33190
20,Chandauli,10387,10386,7776
21,Chitrakoot,6860,6159,5134
22,Deoria,24939,24611,20291
23,Etah,8917,8852,7167
24,Etawah,11764,10125,5799
25,Faizabad,20027,18963,13118
26,Farrukhabad,11813,11434,6694
27,Fatehpur,9855,9855,8394
28,Firozabad,46402,46233,37278
29,Gautam Buddh Nagar,28612,28099,27865
30,Ghaziabad,71694,65335,52529
31,Ghazipur,13517,11946,8941
32,Gonda,6097,6092,5336
33,Gorakhpur,55116,47584,36618
34,Hamirpur,13727,11031,8634
35,Hapur,11521,10991,6826
36,Hardoi,18734,18638,16444
37,Hathras,7384,7354,6539
38,Jalaun,22418,20085,12471
39,Jaunpur,24736,24650,20937
40,Jhansi,33062,32979,27762
41,Kannauj,9712,8915,7349
42,Kanpur Dehat,15660,15201,9055
43,Kanpur Nagar,32850,31847,26023
44,Kasganj,8743,8725,8067
45,Kaushambi,16337,15686,8933
46,Kushinagar,35003,34740,28721
47,Lakhimpur Kheri,28724,28536,23918
48,Lalitpur,20812,20767,16799
49,Lucknow,73411,72496,54458
50,Maharajganj,25517,25471,15377
51,Mahoba,13849,13413,8755
52,Mainpuri,11771,11612,9610
53,Mathura,43054,42998,31464
54,Mau,19391,18700,16672
55,Meerut,33755,32956,25288
56,Mirzapur,33485,33406,29815
57,Moradabad,31748,30115,23904
58,Muzaffarnagar,23142,22390,18859
59,Pilibhit,21447,21370,19542
60,Pratapgarh,14181,13801,10077
61,Prayagraj,28556,25845,18355
62,Raebareli,11895,11688,9498
63,Rampur,24659,22826,17580
64,Saharanpur,36947,29355,24840
65,Sambhal,13287,12382,8032
66,Sant Kabir Nagar,23547,22482,15273
67,Shahjahanpur,22333,21822,14574
68,Shamli,17405,17405,15102
69,Shravasti,5882,5747,4275
70,Siddharthnagar,18266,18146,11692
71,Sitapur,28896,28776,27330
72,Sonbhadra,9510,9482,8178
73,Sultanpur,5831,5831,5128
74,Unnao,29111,27262,24992
75,Varanasi,47028,44962,33836
Total,Total,1701389,1633799,1287307
