Sl. No.,District,Number of Houses Sanctioned,Number of Houses Grounded for Construction,Number of Houses Completed/Delivered to the Beneficiaries
1,Agra,50833,50711,50247
2,Aligarh,27240,27112,26387
3,Ambedkar Nagar,20335,20335,19267
4,Amethi,8086,7801,7319
5,Amroha,11865,11738,11471
6,Auraiya,9371,9333,8914
7,Ayodhya,19969,19827,19080
8,Azamgarh,16708,16612,16132
9,Baghpat,13172,12672,11826
10,Bahraich,13360,13253,12445
11,Ballia,21285,21052,19604
12,Balrampur,5388,5206,4165
13,Banda,19746,19490,18952
14,BaraBanki,24845,24523,23456
15,Bareilly,38578,38431,36321
16,Basti,18141,17852,17057
17,Bhadohi,27225,27207,26859
18,Bijnor,25519,24720,22929
19,Budaun,18078,18069,17658
20,Bulandshahr,47722,47565,45386
21,Chandauli,10388,10383,9902
22,Chitrakoot,8020,7973,7532
23,Deoria,24938,24809,23672
24,Etah,10273,10130,9707
25,Etawah,10536,10425,9552
26,Farrukhabad,11964,11919,11477
27,Fatehpur,19396,18598,17266
28,Firozabad,46401,46205,43309
29,Gautam Buddha Nagar,13770,13765,13688
30,Ghaziabad,87777,86134,77467
31,Ghazipur,11384,11364,10422
32,Gonda,6699,6691,6476
33,Gorakhpur,58202,56177,55068
34,Hamirpur,13493,13293,12985
35,Hapur,16129,15162,14158
36,Hardoi,18633,18627,18446
37,Hathras,7264,7259,6932
38,Jalaun,21835,21615,20968
39,Jaunpur,24734,24657,22843
40,Jhansi,32867,32862,31247
41,Kannauj,10598,10456,10211
42,Kanpur Dehat,15256,15086,14770
43,Kanpur Nagar,32668,32668,31563
44,Kasganj,8687,8674,8546
45,Kaushambi,16729,16420,15962
46,Kheri,31942,31787,31089
47,Kushinagar,39216,38988,36868
48,Lalitpur,22215,22101,20767
49,Lucknow,75491,75349,74352
50,Mahoba,13497,13441,12468
51,Mahrajganj,30772,30633,29186
52,Mainpuri,11436,11403,11095
53,Mathura,42747,42701,41174
54,Mau,18487,18469,18290
55,Meerut,33748,32936,31304
56,Mirzapur,45141,44072,40022
57,Moradabad,36947,36800,35135
58,Muzaffarnagar,23111,23046,22311
59,Pilibhit,21445,21424,21237
60,Pratapgarh,15264,15253,14617
61,Prayagraj,32068,31751,29704
62,RaeBareli,12792,12737,12175
63,Rampur,25167,24688,23487
64,Saharanpur,36841,36455,34983
65,Sambhal,12478,12476,12163
66,SantKabir Nagar,23536,23120,22180
67,Shahjahanpur,26970,26562,23978
68,Shamli,17372,17353,16896
69,Shrawasti,5882,5803,5467
70,Siddharthnagar,22660,22409,21090
71,Sitapur,28818,28809,28490
72,Sonbhadra,11484,11391,11192
73,Sultanpur,5773,5773,5673
74,Unnao,30468,30308,29358
75,Varanasi,46948,46511,46172
Total,Total,1776823,1759410,1682567
