Sl. No.,State/ UT,Details of Houses (Nos.) - Sanctioned,Details of Houses (Nos.) - Grounded for Construction,Completed/Delivered
1,Andhra Pradesh,1707581,1639737,712678
2,Bihar,193545,247903,110007
3,Chhattisgarh,218576,222892,175553
4,Goa,3031,3036,3034
5,Gujarat,822252,821792,801247
6,Haryana,107446,87391,60591
7,Himachal Pradesh,8176,11594,8840
8,Jharkhand,121750,121332,94846
9,Karnataka,336217,464083,261362
10,Kerala,104921,113833,112730
11,Madhya Pradesh,633115,641045,616699
12,Maharashtra,1266831,1013704,763889
13,Odisha,133678,125667,125341
14,Punjab,96670,92555,71364
15,Rajasthan,225258,182440,160719
16,Tamil Nadu,435227,366721,481000
17,Telangana,106646,121012,223675
18,Uttar Pradesh,1371086,1467051,1247975
19,Uttarakhand,50111,44809,25738
20,West Bengal,503149,493330,316810
Sub-Total (States),Sub-Total (States),8445266,8281927,6374098
21,Arunachal Pradesh,3441,6073,6664
22,Assam,113804,127792,80206
23,Manipur,32049,44124,10578
24,Meghalaya,3975,3675,1183
25,Mizoram,11451,37582,6402
26,Nagaland,21296,28633,12531
27,Sikkim,186,427,239
28,Tripura,33145,41940,56532
Sub-Total (NE States),Sub-Total (NE States),219347,290246,174335
29,Andaman and Nicobar Islands,353,376,47
30,Chandigarh,1192,1192,1192
31,Dadra and Nagar Haveli and Daman and Diu,7508,8979,8269
32,Delhi,27246,27246,34646
33,Jammu and Kashmir,39986,45938,19256
34,Ladakh,374,933,587
35,Lakshadweep,NA,NA,NA
36,Puducherry,8474,13127,8116
Sub-Total (UTs),Sub-Total (UTs),85133,97791,72113
Grand Total,Grand Total,8749746,8669964,6620546
