Sl. No.,State/ UT,Category,Houses Sanctioned,Central Assistance,State Share,Beneficiary Share
1,Andhra Pradesh,State,2132432,32499.33,49001.93,10091.79
2,Bihar,State,324996,5108.24,11223.97,2282.74
3,Chhattisgarh,State,302663,4810.98,5155.7,3505.2
4,Goa,State,3146,74.76,0.13,621.65
5,Gujarat,State,1005204,21064.34,16482.16,67706.53
6,Haryana,State,115034,2171.64,1444.16,5855.91
7,Himachal Pradesh,State,12758,215.95,349.14,299.96
8,Jharkhand,State,229156,3603.31,5816.6,2031.76
9,Karnataka,State,638121,10614.43,19632.3,18530.13
10,Kerala,State,166752,2772.63,3411.58,2675.09
11,Madhya Pradesh,State,961147,15930.45,23292.53,14307.65
12,Maharashtra,State,1395199,25999.56,61391.27,91562.23
13,Odisha,State,203380,3176.98,3815.13,1478.56
14,Punjab,State,132235,2342.88,1457.82,5331.69
15,Rajasthan,State,289446,5437.01,4658.98,13483.15
16,Tamil Nadu,State,681795,11207.02,20660.02,16398.39
17,Telangana,State,250084,4475.66,9846.15,16384.5
18,Uttar Pradesh,State,1772301,27894.85,35725.89,20353.26
19,Uttarakhand,State,65519,1193.38,1702.42,2042.42
20,West Bengal,State,668953,10773.5,14745.22,12007.54
Sub- total States,Sub- total States,Sub- total States,11350321,191366.89,289813.11,306950.16
21,Arunachal Pradesh,Northeast States,8499,182.38,289.19,11.05
22,Assam,Northeast States,176643,2674.26,2191.69,450.7
23,Manipur,Northeast States,56037,841.39,592.96,11.97
24,Meghalaya,Northeast States,4758,72.35,101.6,13.18
25,Mizoram,Northeast States,39605,607.8,187.93,132.55
26,Nagaland,Northeast States,31860,503.91,526.88,2.74
27,Sikkim,Northeast States,594,10.3,4.76,17.29
28,Tripura,Northeast States,89068,1437.56,1116.45,289.77
Sub- total Northeast States,Sub- total Northeast States,Sub- total Northeast States,407064,6329.95,5011.44,929.25
29,Andaman and Nicobar Island,Union Territory,376,5.84,86.02,3.97
30,Chandigarh,Union Territory,1256,28.78,NA,234.24
31,Dadra and Nagar Haveli and Daman and Diu,Union Territory,10468,222.22,81.74,634.55
32,Delhi,Union Territory,29976,692.53,NA,5003.52
33,Jammu and Kashmir,Union Territory,47040,724.94,1664.79,203.58
34,Ladakh,Union Territory,1307,30.22,32.85,2.23
35,Lakshadweep,Union Territory,NA,NA,NA,NA
36,Puducherry,Union Territory,15265,243.17,522.11,247.94
Sub- total Union Territory,Sub- total Union Territory,Sub- total Union Territory,105688,1947.71,2387.51,6330.04
