Sl. No.,State/ UT,Category,Houses Sanctioned,Houses Grounded for Construction,Houses Completed
1,Andhra Pradesh,State,2132432,2007436,864743
2,Bihar,State,324996,303304,115890
3,Chhattisgarh,State,302663,282288,201534
4,Goa,State,3146,3146,3144
5,Gujarat,State,1005204,977582,891599
6,Haryana,State,115034,92903,66171
7,Himachal Pradesh,State,12758,12352,9776
8,Jharkhand,State,229156,213262,133237
9,Karnataka,State,638121,592173,329330
10,Kerala,State,166752,146790,117219
11,Madhya Pradesh,State,961147,943755,728700
12,Maharashtra,State,1395199,1113591,824557
13,Odisha,State,203380,170449,135955
14,Punjab,State,132235,113188,78106
15,Rajasthan,State,289446,255141,175509
16,Tamil Nadu,State,681795,661367,548882
17,Telangana,State,250084,244219,224339
18,Uttar Pradesh,State,1772301,1674577,1337607
19,Uttarakhand,State,65519,54992,32798
20,West Bengal,State,668953,612193,378564
Sub- total States,Sub- total States,Sub- total States,11350321,10474708,7197660
21,Arunachal Pradesh,North-Eastern States,8499,8360,6778
22,Assam,North-Eastern States,176643,151977,90554
23,Manipur,North-Eastern States,56037,48068,11771
24,Meghalaya,North-Eastern States,4758,3786,1169
25,Mizoram,North-Eastern States,39605,39215,7527
26,Nagaland,North-Eastern States,31860,31841,18888
27,Sikkim,North-Eastern States,594,449,209
28,Tripura,North-Eastern States,89068,84431,68276
Sub- total North-Eastern States,Sub- total North-Eastern States,Sub- total North-Eastern States,407064,368127,205172
29,Andaman and Nicobar Island,Union Territories,376,376,47
30,Chandigarh,Union Territories,1256,1256,1256
31,Dadra and Nagar Haveli and Daman and Diu,Union Territories,10468,10196,9181
32,Delhi,Union Territories,29976,29976,29976
33,Jammu and Kashmir,Union Territories,47040,41122,20476
34,Ladakh,Union Territories,1307,1014,742
35,Lakshadweep,Union Territories,NA,NA,NA
36,Puducherry,Union Territories,15265,14299,9253
Sub- total Union Territories,Sub- total Union Territories,Sub- total Union Territories,105688,98239,70931
