Country,State,Year,"Literacy Rate (UOM:Ratio), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",90.1
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",80.1
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",82.9
India,Assam,"Calendar Year (Jan - Dec), 2011",88.5
India,Bihar,"Calendar Year (Jan - Dec), 2011",76.9
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",86.2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",84.0
India,Delhi,"Calendar Year (Jan - Dec), 2011",86.3
India,Goa,"Calendar Year (Jan - Dec), 2011",90.0
India,Gujarat,"Calendar Year (Jan - Dec), 2011",86.3
India,Haryana,"Calendar Year (Jan - Dec), 2011",83.1
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",91.1
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2011",77.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",82.3
India,Karnataka,"Calendar Year (Jan - Dec), 2011",85.8
India,Kerala,"Calendar Year (Jan - Dec), 2011",95.1
India,Ladakh,"Calendar Year (Jan - Dec), 2011",77.1
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",91.9
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",82.8
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",88.7
India,Manipur,"Calendar Year (Jan - Dec), 2011",85.4
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",90.8
India,Mizoram,"Calendar Year (Jan - Dec), 2011",97.6
India,Nagaland,"Calendar Year (Jan - Dec), 2011",89.6
India,Odisha,"Calendar Year (Jan - Dec), 2011",85.7
India,Puducherry,"Calendar Year (Jan - Dec), 2011",88.5
India,Punjab,"Calendar Year (Jan - Dec), 2011",83.2
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",79.7
India,Sikkim,"Calendar Year (Jan - Dec), 2011",88.7
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",87.0
India,Telangana,"Calendar Year (Jan - Dec), 2011",80.1
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",89.254891963153791060648
India,Tripura,"Calendar Year (Jan - Dec), 2011",93.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",75.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",84.5
India,West Bengal,"Calendar Year (Jan - Dec), 2011",84.8
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",86.57
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",76.09
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",78.26
India,Assam,"Calendar Year (Jan - Dec), 2001",85.34
India,Bihar,"Calendar Year (Jan - Dec), 2001",71.93
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",82.64
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",80.58
India,Delhi,"Calendar Year (Jan - Dec), 2001",81.93
India,Goa,"Calendar Year (Jan - Dec), 2001",84.39
India,Gujarat,"Calendar Year (Jan - Dec), 2001",81.84
India,Haryana,"Calendar Year (Jan - Dec), 2001",79.16
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",88.95
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",71.92
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",79.14
India,Karnataka,"Calendar Year (Jan - Dec), 2001",80.58
India,Kerala,"Calendar Year (Jan - Dec), 2001",93.19
India,Ladakh,"Calendar Year (Jan - Dec), 2001",71.92
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",88.62
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",79.39
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",85.48
India,Manipur,"Calendar Year (Jan - Dec), 2001",79.28
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",86.30
India,Mizoram,"Calendar Year (Jan - Dec), 2001",96.13
India,Nagaland,"Calendar Year (Jan - Dec), 2001",84.74
India,Odisha,"Calendar Year (Jan - Dec), 2001",80.84
India,Puducherry,"Calendar Year (Jan - Dec), 2001",84.84
India,Punjab,"Calendar Year (Jan - Dec), 2001",79.10
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",76.20
India,Sikkim,"Calendar Year (Jan - Dec), 2001",83.91
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",82.53
India,Telangana,"Calendar Year (Jan - Dec), 2001",76.09
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",82.9631606555815895929105
India,Tripura,"Calendar Year (Jan - Dec), 2001",89.21
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",69.75
