wCountry,State,Year,"Population Below Poverty Line (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",0
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",5.8
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",20.3
India,Assam,"Calendar Year (Jan - Dec), 2011",20.5
India,Bihar,"Calendar Year (Jan - Dec), 2011",31.2
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",22.3
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",24.8
India,Delhi,"Calendar Year (Jan - Dec), 2011",9.8
India,Goa,"Calendar Year (Jan - Dec), 2011",4.1
India,Gujarat,"Calendar Year (Jan - Dec), 2011",10.1
India,Haryana,"Calendar Year (Jan - Dec), 2011",10.3
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",4.3
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2011",7.2
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",24.8
India,Karnataka,"Calendar Year (Jan - Dec), 2011",15.3
India,Kerala,"Calendar Year (Jan - Dec), 2011",5
India,Ladakh,"Calendar Year (Jan - Dec), 2011",7.2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",3.4
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",21
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",9.1
India,Manipur,"Calendar Year (Jan - Dec), 2011",32.6
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",9.3
India,Mizoram,"Calendar Year (Jan - Dec), 2011",6.4
India,Nagaland,"Calendar Year (Jan - Dec), 2011",16.5
India,Odisha,"Calendar Year (Jan - Dec), 2011",17.3
India,Puducherry,"Calendar Year (Jan - Dec), 2011",6.3
India,Punjab,"Calendar Year (Jan - Dec), 2011",9.2
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",10.7
India,Sikkim,"Calendar Year (Jan - Dec), 2011",3.7
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",6.5
India,Telangana,"Calendar Year (Jan - Dec), 2011",5.8
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",13.634083370493142000612
India,Tripura,"Calendar Year (Jan - Dec), 2011",7.4
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",26.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",10.5
India,West Bengal,"Calendar Year (Jan - Dec), 2011",14.7
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2009",0.3
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2009",17.7
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2009",24.9
India,Assam,"Calendar Year (Jan - Dec), 2009",26.1
India,Bihar,"Calendar Year (Jan - Dec), 2009",39.4
India,Chandigarh,"Calendar Year (Jan - Dec), 2009",9.2
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2009",23.8
India,Delhi,"Calendar Year (Jan - Dec), 2009",14.4
India,Goa,"Calendar Year (Jan - Dec), 2009",6.9
India,Gujarat,"Calendar Year (Jan - Dec), 2009",17.9
India,Haryana,"Calendar Year (Jan - Dec), 2009",23
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2009",12.6
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2009",12.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2009",31.1
India,Karnataka,"Calendar Year (Jan - Dec), 2009",19.6
India,Kerala,"Calendar Year (Jan - Dec), 2009",12.1
India,Ladakh,"Calendar Year (Jan - Dec), 2009",12.8
India,Lakshadweep,"Calendar Year (Jan - Dec), 2009",1.7
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2009",22.9
India,Maharashtra,"Calendar Year (Jan - Dec), 2009",18.3
India,Manipur,"Calendar Year (Jan - Dec), 2009",46.4
India,Meghalaya,"Calendar Year (Jan - Dec), 2009",24.1
India,Mizoram,"Calendar Year (Jan - Dec), 2009",11.5
India,Nagaland,"Calendar Year (Jan - Dec), 2009",25
India,Odisha,"Calendar Year (Jan - Dec), 2009",25.9
India,Puducherry,"Calendar Year (Jan - Dec), 2009",1.6
India,Punjab,"Calendar Year (Jan - Dec), 2009",18.1
India,Rajasthan,"Calendar Year (Jan - Dec), 2009",19.9
India,Sikkim,"Calendar Year (Jan - Dec), 2009",5
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2009",12.8
India,Telangana,"Calendar Year (Jan - Dec), 2009",17.7
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2009",27.349473011233902639513
India,Tripura,"Calendar Year (Jan - Dec), 2009",10
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2009",31.7
India,Uttarakhand,"Calendar Year (Jan - Dec), 2009",25.2
India,West Bengal,"Calendar Year (Jan - Dec), 2009",22
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2004",0.8
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2004",23.4
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2004",23.5
India,Assam,"Calendar Year (Jan - Dec), 2004",21.8
India,Bihar,"Calendar Year (Jan - Dec), 2004",43.7
India,Chandigarh,"Calendar Year (Jan - Dec), 2004",10.1
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2004",28.4
India,Delhi,"Calendar Year (Jan - Dec), 2004",12.9
India,Goa,"Calendar Year (Jan - Dec), 2004",22.2
India,Gujarat,"Calendar Year (Jan - Dec), 2004",20.1
India,Haryana,"Calendar Year (Jan - Dec), 2004",22.4
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2004",4.6
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2004",10.4
India,Jharkhand,"Calendar Year (Jan - Dec), 2004",23.8
India,Karnataka,"Calendar Year (Jan - Dec), 2004",25.9
India,Kerala,"Calendar Year (Jan - Dec), 2004",18.4
India,Ladakh,"Calendar Year (Jan - Dec), 2004",10.4
India,Lakshadweep,"Calendar Year (Jan - Dec), 2004",10.5
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2004",35.1
India,Maharashtra,"Calendar Year (Jan - Dec), 2004",25.6
India,Manipur,"Calendar Year (Jan - Dec), 2004",34.5
India,Meghalaya,"Calendar Year (Jan - Dec), 2004",24.7
India,Mizoram,"Calendar Year (Jan - Dec), 2004",7.9
India,Nagaland,"Calendar Year (Jan - Dec), 2004",4.3
India,Odisha,"Calendar Year (Jan - Dec), 2004",37.6
India,Puducherry,"Calendar Year (Jan - Dec), 2004",9.9
India,Punjab,"Calendar Year (Jan - Dec), 2004",18.7
India,Rajasthan,"Calendar Year (Jan - Dec), 2004",29.7
India,Sikkim,"Calendar Year (Jan - Dec), 2004",25.9
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2004",19.7
India,Telangana,"Calendar Year (Jan - Dec), 2004",23.4
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2004",15.655672664170243857886
India,Tripura,"Calendar Year (Jan - Dec), 2004",22.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2004",34.1
India,Uttarakhand,"Calendar Year (Jan - Dec), 2004",26.2
India,West Bengal,"Calendar Year (Jan - Dec), 2004",24.4
