Country,State,Year,"Urban Population (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2011",37.7
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2011",33.36
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2011",22.94
India,Assam,"Calendar Year (Jan - Dec), 2011",14.1
India,Bihar,"Calendar Year (Jan - Dec), 2011",11.29
India,Chandigarh,"Calendar Year (Jan - Dec), 2011",97.25
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2011",23.24
India,Delhi,"Calendar Year (Jan - Dec), 2011",97.5
India,Goa,"Calendar Year (Jan - Dec), 2011",62.17
India,Gujarat,"Calendar Year (Jan - Dec), 2011",42.6
India,Haryana,"Calendar Year (Jan - Dec), 2011",34.88
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2011",10.03
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2011",27.38
India,Jharkhand,"Calendar Year (Jan - Dec), 2011",24.05
India,Karnataka,"Calendar Year (Jan - Dec), 2011",38.67
India,Kerala,"Calendar Year (Jan - Dec), 2011",47.7
India,Ladakh,"Calendar Year (Jan - Dec), 2011",27.38
India,Lakshadweep,"Calendar Year (Jan - Dec), 2011",78.07
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2011",27.63
India,Maharashtra,"Calendar Year (Jan - Dec), 2011",45.22
India,Manipur,"Calendar Year (Jan - Dec), 2011",29.21
India,Meghalaya,"Calendar Year (Jan - Dec), 2011",20.07
India,Mizoram,"Calendar Year (Jan - Dec), 2011",52.11
India,Nagaland,"Calendar Year (Jan - Dec), 2011",28.86
India,Odisha,"Calendar Year (Jan - Dec), 2011",16.69
India,Puducherry,"Calendar Year (Jan - Dec), 2011",68.33
India,Punjab,"Calendar Year (Jan - Dec), 2011",37.48
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",24.87
India,Sikkim,"Calendar Year (Jan - Dec), 2011",25.15
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",48.4
