Country,State,Year,City,Location,"Number Of Monitoring Days (UOM:Number), Scaling Factor:1","Minimum Concentration Of Particulate Matter Less Than Or Equal To 10 Micro Grams Per Cubic Meter Of Air Considered In 24-Hourly Average (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Maximum Concentration Of Particulate Matter Less Than Or Equal To 10 Micro Grams Per Cubic Meter Of Air  Considered In 24-Hourly Average  (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1","Concentration Of Particulate Matter Less Than Or Equal To 10 Micro Grams Per Cubic Meter Of Air Considered In Annual Average  (UOM:µg/m³(Microgrampercubicmeter)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2023",Port Blair,,,,,22
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Amaravati,,,,,71
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Anantapur,,,,,58
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Chittoor,,,,,57
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kadapa,,,,,53
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kakinada,,,,,76
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Kurnool,,,,,60
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Rajahmundry/ Rajamahendravaram,,,,,78
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Srikakulam,,,,,72
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Tirupati,,,,,61
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vijayawada,,,,,71
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Visakhapatnam,,,,,129
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",Vizianagaram,,,,,74
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2023",Naharlagun,,,,,45
India,Assam,"Calendar Year (Jan - Dec), 2023",Bongaigaon,,,,,51
India,Assam,"Calendar Year (Jan - Dec), 2023",Brynihat,,,,,289
India,Assam,"Calendar Year (Jan - Dec), 2023",Guwahati,,,,,120
India,Assam,"Calendar Year (Jan - Dec), 2023",Nagaon,,,,,113
India,Assam,"Calendar Year (Jan - Dec), 2023",Nalbari,,,,,132
India,Assam,"Calendar Year (Jan - Dec), 2023",Silcher,,,,,33
India,Assam,"Calendar Year (Jan - Dec), 2023",Sivasagar,,,,,40
India,Assam,"Calendar Year (Jan - Dec), 2023",Tinsukia,,,,,52
India,Bihar,"Calendar Year (Jan - Dec), 2023",Araria,,,,,167
India,Bihar,"Calendar Year (Jan - Dec), 2023",Arrah,,,,,168
India,Bihar,"Calendar Year (Jan - Dec), 2023",Aurangabad,,,,,139
India,Bihar,"Calendar Year (Jan - Dec), 2023",Begusarai,,,,,264
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bettiah,,,,,187
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bhagalpur,,,,,167
India,Bihar,"Calendar Year (Jan - Dec), 2023",Bihar Sharif,,,,,121
India,Bihar,"Calendar Year (Jan - Dec), 2023",Chhapra,,,,,210
India,Bihar,"Calendar Year (Jan - Dec), 2023",Gaya,,,,,119
India,Bihar,"Calendar Year (Jan - Dec), 2023",Hajipur,,,,,173
India,Bihar,"Calendar Year (Jan - Dec), 2023",Katihar,,,,,193
India,Bihar,"Calendar Year (Jan - Dec), 2023",Kishanganj,,,,,148
India,Bihar,"Calendar Year (Jan - Dec), 2023",Manguraha,,,,,91
India,Bihar,"Calendar Year (Jan - Dec), 2023",Motihari,,,,,142
India,Bihar,"Calendar Year (Jan - Dec), 2023",Munger,,,,,193
India,Bihar,"Calendar Year (Jan - Dec), 2023",Muzaffarpur,,,,,179
India,Bihar,"Calendar Year (Jan - Dec), 2023",Patna,,,,,183
India,Bihar,"Calendar Year (Jan - Dec), 2023",Purnia,,,,,154
India,Bihar,"Calendar Year (Jan - Dec), 2023",Rajgir,,,,,141
India,Bihar,"Calendar Year (Jan - Dec), 2023",Saharsa,,,,,183
India,Bihar,"Calendar Year (Jan - Dec), 2023",Samastipur,,,,,184
India,Bihar,"Calendar Year (Jan - Dec), 2023",Sasaram,,,,,99
India,Bihar,"Calendar Year (Jan - Dec), 2023",Siwan,,,,,176
India,Chandigarh,"Calendar Year (Jan - Dec), 2023",Chandigarh,,,,,113
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Bilaspur,,,,,71
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Chhal,,,,,64
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Durg Bhillainagar,,,,,66
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Korba,,,,,65
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Kunjemura,,,,,96
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Milupara,,,,,50
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raigarh,,,,,93
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Raipur,,,,,77
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2023",Tumidh,,,,,88
India,Delhi,"Calendar Year (Jan - Dec), 2023",Delhi,,,,,205
India,Goa,"Calendar Year (Jan - Dec), 2023",Mapusa,,,,,62
India,Goa,"Calendar Year (Jan - Dec), 2023",Panaji,,,,,71
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ahmedabad,,,,,100
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Ankleshwar,,,,,91
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Gandhinagar,,,,,87
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Nandesari,,,,,25
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Rajkot,,,,,94
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Surat,,,,,121
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vadodara,,,,,96
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vapi,,,,,105
India,Gujarat,"Calendar Year (Jan - Dec), 2023",Vatva,,,,,118
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ambala,,,,,81
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bahadurgarh,,,,,149
India,Haryana,"Calendar Year (Jan - Dec), 2023",Ballabgarh,,,,,137
India,Haryana,"Calendar Year (Jan - Dec), 2023",Bhiwani,,,,,126
India,Haryana,"Calendar Year (Jan - Dec), 2023",Charkhi Dadri,,,,,135
India,Haryana,"Calendar Year (Jan - Dec), 2023",Dharuhera,,,,,185
India,Haryana,"Calendar Year (Jan - Dec), 2023",Faridabad,,,,,196
India,Haryana,"Calendar Year (Jan - Dec), 2023",Fatehabad,,,,,139
India,Haryana,"Calendar Year (Jan - Dec), 2023",Gurgaon,,,,,176
India,Haryana,"Calendar Year (Jan - Dec), 2023",Hissar,,,,,136
India,Haryana,"Calendar Year (Jan - Dec), 2023",Jind,,,,,103
India,Haryana,"Calendar Year (Jan - Dec), 2023",Kaithal,,,,,126
