Country,State,Year,Station Code,Monitoring Location,"Minimum Temperature For Medium And Minor Rivers (UOM:°C(Centigrade)), Scaling Factor:1","Maximum Temperature For Medium And Minor Rivers (UOM:°C(Centigrade)), Scaling Factor:1","Minimum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Maximum Potential Of Hydrogen Value In Water (UOM:pH), Scaling Factor:1","Minimum Conductivity Level (UOM:µmhos/cm(micromhospercentimeter)), Scaling Factor:1","Maximum Conductivity Level (UOM:µmhos/cm(micromhospercentimeter)), Scaling Factor:1","Minimum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Biochemical Oxygen Demand (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Nitrate N + Nitrite N Required For Medium And Minor Rivers (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum  Of Nitrate N + Nitrite N Required For Medium And Minor Rivers (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum  Of Fecal Coliforms For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum   Of Fecal Coliforms For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum  Of Total Coliform For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum  Of Total Coliform For Medium And Minor Rivers (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Fecal Streptococci Required For Different Water Bodies (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Fecal Streptococci Required For Different Water Bodies (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1"
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",1448.0,"RIVER NAGAVALI AT THOTAPALLI REGULATOR, THOTAPALLI (V), GARUGUBILLI (M)",24.0000000000000000,34.0000000000000000,5.7000000000000000,7.3000000000000000,7.0000000000000000,8.4000000000000000,219.0000000000000000,655.0000000000000000,1.20000000000000000000,2.8000000000000000,0.30000000000000000000,6.4200000000000000,3.0000000000000000,20.0000000000000000,75.0000000000000000,150.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",2352.0,"RIVER VAMSADHARA, GARA (V & M)",20.0000000000000000,36.0000000000000000,5.2000000000000000,8.2000000000000000,7.1000000000000000,8.3000000000000000,165.0000000000000000,349.0000000000000000,1.30000000000000000000,2.8000000000000000,0.30000000000000000000,1.62000000000000000000,3.0000000000000000,11.0000000000000000,75.0000000000000000,210.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4346.0,"RIVER NAGAVALI NEAR NH- 16 BRIDGE, UPSTREAM (U/S) OF SRIKAKULAM TOWN, BEFORE CONFLUENCE OF TOWN SEWAGE",24.0000000000000000,37.0000000000000000,5.8000000000000000,7.6000000000000000,6.4000000000000000,8.4000000000000000,289.0000000000000000,396.0000000000000000,1.30000000000000000000,2.6000000000000000,0.32000000000000000000,2.1200000000000000,4.0000000000000000,11.0000000000000000,120.0000000000000000,240.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4347.0,"RIVER NAGAVALI NEAR WATER PUMP HOUSE (KILLIPALEM) , DOWN STREAM (D/S) OF SRIKAKULAM TOWN, AFTER CONFLUENCE OF TOWN SEWAGE",24.0000000000000000,37.0000000000000000,5.4000000000000000,8.0000000000000000,6.3000000000000000,8.5000000000000000,275.0000000000000000,398.0000000000000000,1.50000000000000000000,2.7000000000000000,0.30000000000000000000,1.82000000000000000000,7.0000000000000000,20.0000000000000000,210.0000000000000000,460.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4348.0,"RIVER VAMSADHARA, IMMEDIATE BORDER BETWEEN ANDHRA PRADESH & ORISSA STATES, NEAR LALITHAMBA TEMPLE, BATTILI (V) BHAMINI (M)",23.0000000000000000,38.0000000000000000,5.8000000000000000,8.5000000000000000,6.6000000000000000,8.5000000000000000,163.0000000000000000,428.0000000000000000,1.00000000000000000000,2.8000000000000000,0.30000000000000000000,1.22000000000000000000,4.0000000000000000,14.0000000000000000,120.0000000000000000,210.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4351.0,"RIVER NAGAVALI IMMEDIATE BORDER BETWEEN ANDHRA PRADESH & ORISSA STATES, NEAR SIVALAYAM, KUNERU (V), KOMARADA (M)",24.0000000000000000,34.0000000000000000,5.2000000000000000,7.5000000000000000,6.8000000000000000,8.3000000000000000,192.0000000000000000,501.0000000000000000,1.00000000000000000000,2.9000000000000000,0.32000000000000000000,3.3000000000000000,7.0000000000000000,20.0000000000000000,120.0000000000000000,240.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4358.0,"RIVER GOWTHAMI (GODAVARI) GOVALANKA, INJARAM (V), NEAR GMC BALAYOGI BRIDGE,TALLAREVU (M)",25.0000000000000000,28.0000000000000000,6.0000000000000000,7.4000000000000000,6.8000000000000000,7.9000000000000000,226.0000000000000000,45200.000000000000,2.0000000000000000,2.4000000000000000,0.00000000000000000000,1.73000000000000000000,3.0000000000000000,9.0000000000000000,39.0000000000000000,240.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4365.0,RIVER VASISHTA GODAVARI UPSTREAM OF NARASAPURAM TOWN BEFORE CONFLUENCE OF TOWN SEWAGE,24.0000000000000000,32.0000000000000000,5.4000000000000000,8.1000000000000000,6.1000000000000000,8.4000000000000000,154.0000000000000000,36500.000000000000,1.20000000000000000000,2.6000000000000000,0.30000000000000000000,1.72000000000000000000,4.0000000000000000,21.0000000000000000,93.0000000000000000,240.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4366.0,RIVER VASISHTA GODAVARI DOWNSTREAM OF NARASAPURAM TOWN AFTER CONFLUENCE OF TOWN SEWAGE,22.0000000000000000,32.0000000000000000,5.0000000000000000,7.2000000000000000,7.5000000000000000,8.2000000000000000,345.0000000000000000,46300.000000000000,1.00000000000000000000,2.9000000000000000,0.00000000000000000000,2.2500000000000000,7.0000000000000000,15.0000000000000000,210.0000000000000000,460.0000000000000000,2.0000000000000000,3.0000000000000000
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2023",4372.0,"RIVER GOSTANI SAMPLE BEFORE CONFLUENCE WITH M/S DELTA PAPER MILL EFFLUENTS, VENDRA (V), PALAKODERU (M)",24.0000000000000000,30.0000000000000000,0.30000000000000000000,5.6000000000000000,7.1000000000000000,8.1000000000000000,714.0000000000000000,5160.0000000000000000,2.5000000000000000,15.0000000000000000,1.23000000000000000000,7.0500000000000000,4.0000000000000000,14.0000000000000000,43.0000000000000000,460.0000000000000000,2.0000000000000000,2.0000000000000000
