Country,Year,State Name ,Station Code,Monitoring Location,"Minimum Temperature For River Water (UOM:°C(Centigrade)), Scaling Factor:1","Maximum Temperature For River Water (UOM:°C(Centigrade)), Scaling Factor:1","Minimum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Value Of Dissolved Oxygen (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Potential Of Hydrogen Value In River Water (UOM:pH), Scaling Factor:1","Maximum Potential Of Hydrogen Value In River Water (UOM:pH), Scaling Factor:1","Minimum Conductivity Level (UOM:µmho/cm(micromhospercentimeter)), Scaling Factor:1","Maximum Conductivity Level (UOM:µmho/cm(micromhospercentimeter)), Scaling Factor:1","Minimum Biochemical Oxygen Demand (Bod) (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Biochemical Oxygen Demand (Bod) (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Of Nitrate (N) Required For River Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Maximum Of Nitrate (N) Required For River Water (UOM:mg/L(Milligramsperliter)), Scaling Factor:1","Minimum Of Fecal Coliforms Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Of Fecal Coliforms Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Total Coliform Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Total Coliform Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Minimum Fecal Streptococci Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1","Maximum Fecal Streptococci Required For River Water (UOM:MPN/100ml(MostprobableNumberper100mililiters)), Scaling Factor:1"
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,4359,RIVER GODAVARI AFTER CONFLUENCE WITH SABARI TRIBUTARY (KUNAVARAM) AT WADDIGUDEM(V) V.R. PURAM (M),23,27,6.2,7.8,7.2,8.5,64,762,1.3,2.3,0.32,1.06,2,9,21,120,2,2
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,14,RIVER GODAVARI AT POLAVARAM (V and M),22,34,6,7.5,7.4,8.4,130,284,1.2,2.6,0.3,3.87,3,14,64,240,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,1219,"RIVER GODAVARI AT RAJAHMUNDRY D/S, DOWLESWARAM (V), RAJAHMUNDRY (M)",25,29,6.4,7.4,6.6,8.5,125,285,2,2.4,0.32,1.02,4,15,93,460,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,1218,"RIVER GODAVARI AT RAJAHMUNDRY U/S, KUMARADEVAM (V), KOVVUR (M)",25,32,6.9,7.6,6.6,8.3,155,630,1.6,2.2,0.3,1.82,4,9,75,150,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,2371,"RIVER GODAVARI AT RAJAMUNDRY D/S OF NALLA CHANNEL, RAJAMUNDRY",25,27,6.1,7.2,6.4,8.4,141,296,2,2.4,0.32,2.43,4,20,150,240,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,2370,"RIVER GODAVARI AT RAJAMUNDRY U/S OF NALLA CHANNEL,RAJAMUNDRY",25,27,6.7,7.5,6.3,8.3,180,361,1.8,2.4,0.3,2.64,3,11,75,210,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,3067,"RIVER GODAVARI D/S DOWLEISWARAM AFTER CONFLUENCE OF STP OUTLET, DOWLEISWARAM (V)",26,28,6.4,7.4,6.5,8.4,129,297,1.8,2.4,0.32,2.42,4,15,39,240,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,4367,"RIVER GODAVARI KOUNDINYA MUKTHI (V), KUKUNUR (M), BORDER POINT BETWEEN ANDHRA PRADESH and TELANGANA STATES",22,32,6.2,7.5,7.8,8.4,130,2133,1.1,2.2,0.32,2.32,3,9,64,210,2,3
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,5158,"RIVER HUNDRI AT GAJULADINNE RESERVOIR GAJULADINNE (V),GONEGANDLA (M)",21,29,5.5,6.2,6.9,8.1,547,896,1.3,2.5,0.34,1.29,173,378,501,980,,
India,"Calendar Year (Jan - Dec), 2023",Andhra Pradesh,2350,"RIVER HUNDRI AT LAXMIPURAM (V), KALLUR (M)",22,28,5.4,6.3,7.4,8.1,1152,1479,1,2.8,0.93,2.12,146,320,575,816,,
