source,State,District,Rivers / Streams,start_date
court_docs,Madhya Pradesh,"Jabalpur, Alirajpur, Betul, Bhind",Narmada,2020-02-28 18:30:00+00
court_docs,Madhya Pradesh,Gwalior,Sindh,2020-09-04 18:30:00+00
court_docs,Haryana,,"yamuna, Ghaggar, Tangri, Markanda, Krishnavati, Dohan",
court_docs,"Uttar Pradesh, Rajasthan, Madhya Pradesh","Dhaulpur, Morena, Gwalior, Bhind, Bharatpur, Etawah, Jhansi",Chambal,2022-03-30 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2025-02-13 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Sindh,2025-02-10 18:30:00+00
court_docs,Madhya Pradesh,Dhar,,2023-08-08 18:30:00+00
court_docs,Madhya Pradesh,Narsimhapur,Dudhi,2020-10-23 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2025-05-28 18:30:00+00
court_docs,Uttar Pradesh,Ghaziabad,Yamuna,2023-12-01 18:30:00+00
court_docs,Madhya Pradesh,Sehore,Narmada,2021-09-23 18:30:00+00
court_docs,Maharashtra,Nagpur,"Kanhan, Pench",2022-03-26 07:00:00+00
court_docs,Maharashtra,Sindhudurg,Gad (Maharashtra),2022-02-28 18:30:00+00
court_docs,Odisha,"Bargarh, Jharsuguda",Mahanadi,2024-07-08 18:30:00+00
court_docs,Andhra Pradesh,"Guntur, Krishna, Mahbubnagar, Medak, Nizamabad, Prakasam, Y.s.r. / Kadapa, Visakhapatnam, Warangal, Anantapur, East Godavari, Chittoor, Hyderabad, Kurnool, Nalgonda, Vizianagaram, West Godavari, Srikakulam, Annamayya, Sri Sathya Sai, Palnadu / Narasaraopet, Rangareddy, Tirupati, Bapatla, Dr. B. R. Ambedkar Konaseema / Konaseema, Sri Potti Sriramulu Nellore, Nandyal, Kakinada, Khammam, East Godavari, Karimnagar",,2023-06-23 18:30:00+00
court_docs,Madhya Pradesh,Jabalpur,Narmada,2021-10-07 18:30:00+00
court_docs,Madhya Pradesh,Seoni,,2022-05-25 18:30:00+00
court_docs,Madhya Pradesh,"Jabalpur, Narsimhapur",Narmada,2015-10-15 18:30:00+00
court_docs,Madhya Pradesh,Bhind,Chambal,2022-09-21 18:30:00+00
court_docs,Uttar Pradesh,Hamirpur,Betwa,2019-08-22 18:30:00+00
court_docs,Madhya Pradesh,"Morena, Gwalior, Bhind, Datia",Chambal,2021-07-22 18:30:00+00
court_docs,Madhya Pradesh,Chhindwara,Kanhan,2018-01-30 18:30:00+00
