Reporter,TradeFlow,ProductCode,Product Description,Year,Partner,Trade Value 1000USD,Quantity,Quantity Unit
India,Export,250510,Silica sands and quartz sands,2023, World,             74.61,546997,Kg
India,Export,250510,Silica sands and quartz sands,2023,Bangladesh,             31.64,235490,Kg
India,Export,250510,Silica sands and quartz sands,2023,"Other Asia, nes",             11.98,101000,Kg
India,Export,250510,Silica sands and quartz sands,2023,Nepal,              7.83,38119,Kg
India,Export,250510,Silica sands and quartz sands,2023,Bhutan,              6.93,21911,Kg
India,Export,250510,Silica sands and quartz sands,2023,United Arab Emirates,              6.84,84210,Kg
India,Export,250510,Silica sands and quartz sands,2023,Sweden,              1.78,25,Kg
India,Export,250510,Silica sands and quartz sands,2023,Maldives,              1.66,31000,Kg
India,Export,250510,Silica sands and quartz sands,2023,United Kingdom,              1.20,1218,Kg
India,Export,250510,Silica sands and quartz sands,2023,Bahrain,              0.98,505,Kg
India,Export,250510,Silica sands and quartz sands,2023,Senegal,              0.68,4050,Kg
India,Export,250510,Silica sands and quartz sands,2023,Cote d'Ivoire,              0.62,15300,Kg
India,Export,250510,Silica sands and quartz sands,2023,Qatar,              0.51,7050,Kg
India,Export,250510,Silica sands and quartz sands,2023,Turkey,              0.41,7,Kg
India,Export,250510,Silica sands and quartz sands,2023,Mexico,              0.29,1465,Kg
India,Export,250510,Silica sands and quartz sands,2023,Japan,              0.22,5,Kg
India,Export,250510,Silica sands and quartz sands,2023,Norway,              0.16,15,Kg
India,Export,250510,Silica sands and quartz sands,2023,Kenya,              0.14,1725,Kg
India,Export,250510,Silica sands and quartz sands,2023,Nigeria,              0.12,500,Kg
India,Export,250510,Silica sands and quartz sands,2023,Oman,              0.12,503,Kg
India,Export,250510,Silica sands and quartz sands,2023,Libya,              0.11,2000,Kg
India,Export,250510,Silica sands and quartz sands,2023,Somalia,              0.08,200,Kg
India,Export,250510,Silica sands and quartz sands,2023,"Korea, Rep.",              0.07,5,Kg
India,Export,250510,Silica sands and quartz sands,2023,Tunisia,              0.05,2,Kg
India,Export,250510,Silica sands and quartz sands,2023,South Africa,              0.05,20,Kg
India,Export,250510,Silica sands and quartz sands,2023,Canada,              0.04,4,Kg
India,Export,250510,Silica sands and quartz sands,2023,Germany,              0.03,30.462,Kg
India,Export,250510,Silica sands and quartz sands,2023,Netherlands,              0.02,175,Kg
India,Export,250510,Silica sands and quartz sands,2023,Ethiopia(excludes Eritrea),              0.02,100,Kg
India,Export,250510,Silica sands and quartz sands,2023,United States,              0.02,8,Kg
India,Export,250510,Silica sands and quartz sands,2023,Cameroon,              0.01,300,Kg
India,Export,250510,Silica sands and quartz sands,2023,Italy,              0.00,55,Kg
