State_clean,mining_incidents,total_households,mining_per_100k_households,log_households,log_mining,demand_pressure
andhra pradesh,99,0.0,inf,0.0,4.605170185988092,inf
assam,62,0.0,inf,0.0,4.143134726391533,inf
bihar,72,0.0,inf,0.0,4.290459441148391,inf
chandigarh,1,0.0,inf,0.0,0.6931471805599453,inf
chhattisgarh,14,0.0,inf,0.0,2.70805020110221,inf
goa,94,0.0,inf,0.0,4.553876891600541,inf
gujarat,114,0.0,inf,0.0,4.74493212836325,inf
haryana,69,0.0,inf,0.0,4.248495242049359,inf
himachal pradesh,27,0.0,inf,0.0,3.332204510175204,inf
jharkhand,45,0.0,inf,0.0,3.828641396489095,inf
karnataka,94,0.0,inf,0.0,4.553876891600541,inf
kerala,60,0.0,inf,0.0,4.110873864173311,inf
madhya pradesh,279,0.0,inf,0.0,5.634789603169249,inf
maharashtra,182,0.0,inf,0.0,5.209486152841421,inf
manipur,8,0.0,inf,0.0,2.1972245773362196,inf
meghalaya,6,0.0,inf,0.0,1.9459101490553132,inf
nagaland,4,0.0,inf,0.0,1.6094379124341003,inf
odisha,90,0.0,inf,0.0,4.51085950651685,inf
puducherry,2,0.0,inf,0.0,1.0986122886681098,inf
punjab,95,0.0,inf,0.0,4.564348191467836,inf
rajasthan,98,0.0,inf,0.0,4.59511985013459,inf
sikkim,3,0.0,inf,0.0,1.3862943611198906,inf
tamil nadu,120,0.0,inf,0.0,4.795790545596741,inf
telangana,29,0.0,inf,0.0,3.4011973816621555,inf
tripura,2,0.0,inf,0.0,1.0986122886681098,inf
uttar pradesh,98,0.0,inf,0.0,4.59511985013459,inf
uttarakhand,25,0.0,inf,0.0,3.258096538021482,inf
west bengal,78,0.0,inf,0.0,4.3694478524670215,inf
