State_clean,mining_incidents,Dilapidated,Good,Liveable,log_mining,housing_quality_index
andhra pradesh,99,1.845,75.435,22.72,4.605170185988092,73.59
assam,62,6.095000000000001,55.45,38.455,4.143134726391533,49.355000000000004
bihar,72,7.47,53.635,38.894999999999996,4.290459441148391,46.165
chandigarh,1,3.165,69.78999999999999,27.04,0.6931471805599453,66.62499999999999
chhattisgarh,14,2.73,62.199999999999996,35.07,2.70805020110221,59.47
goa,94,2.645,72.71000000000001,24.645,4.553876891600541,70.06500000000001
gujarat,114,1.4,71.88499999999999,26.71,4.74493212836325,70.48499999999999
haryana,69,3.625,60.78,35.595,4.248495242049359,57.155
himachal pradesh,27,2.0949999999999998,76.7,21.2,3.332204510175204,74.605
jharkhand,45,4.06,59.76,36.18,3.828641396489095,55.699999999999996
karnataka,94,2.635,65.405,31.96,4.553876891600541,62.77
kerala,60,4.82,68.61,26.57,4.110873864173311,63.79
madhya pradesh,279,2.92,65.545,31.534999999999997,5.634789603169249,62.625
maharashtra,182,2.455,67.87,29.665,5.209486152841421,65.415
manipur,8,4.09,62.775000000000006,33.14,2.1972245773362196,58.685
meghalaya,6,3.625,65.205,31.17,1.9459101490553132,61.58
nagaland,4,3.1599999999999997,55.82,41.019999999999996,1.6094379124341003,52.660000000000004
odisha,90,6.82,48.894999999999996,44.285,4.51085950651685,42.074999999999996
puducherry,2,0.8999999999999999,85.64500000000001,13.46,1.0986122886681098,84.745
punjab,95,4.53,60.629999999999995,34.84,4.564348191467836,56.099999999999994
rajasthan,98,2.045,65.64,32.315,4.59511985013459,63.595
sikkim,3,1.63,83.045,15.325,1.3862943611198906,81.415
tamil nadu,120,0.95,83.17,15.88,4.795790545596741,82.22
telangana,29,1.845,75.435,22.72,3.4011973816621555,73.59
tripura,2,4.24,62.615,33.144999999999996,1.0986122886681098,58.375
uttar pradesh,98,4.26,55.94,39.805,4.59511985013459,51.68
uttarakhand,25,2.915,72.68,24.405,3.258096538021482,69.765
west bengal,78,6.54,55.645,37.81,4.3694478524670215,49.105000000000004
