State_clean,mining_incidents,police_total,mining_per_million,police_per_100k,risk_score,log_mining,log_police
andhra pradesh,99,5190.0,99,5190.0,-5091.0,4.605170185988092,8.55468163582723
assam,62,3384.0,62,3384.0,-3322.0,4.143134726391533,8.127109185346375
bihar,72,14507.0,72,14507.0,-14435.0,4.290459441148391,9.582455500402792
chandigarh,1,94.0,1,94.0,-93.0,0.6931471805599453,4.553876891600541
chhattisgarh,14,2718.0,14,2718.0,-2704.0,2.70805020110221,7.908019444632471
goa,94,0.0,94,0.0,94.0,4.553876891600541,0.0
gujarat,114,223.0,114,223.0,-109.0,4.74493212836325,5.4116460518550396
haryana,69,1891.0,69,1891.0,-1822.0,4.248495242049359,7.545389749611823
himachal pradesh,27,1109.0,27,1109.0,-1082.0,3.332204510175204,7.01211529430638
jharkhand,45,2500.0,45,2500.0,-2455.0,3.828641396489095,7.824445930877619
karnataka,94,4660.0,94,4660.0,-4566.0,4.553876891600541,8.446985296372741
kerala,60,4.0,60,4.0,56.0,4.110873864173311,1.6094379124341003
madhya pradesh,279,523.0,279,523.0,-244.0,5.634789603169249,6.261491684321042
maharashtra,182,5292.0,182,5292.0,-5110.0,5.209486152841421,8.574140471857987
manipur,8,597.0,8,597.0,-589.0,2.1972245773362196,6.393590753950631
meghalaya,6,0.0,6,0.0,6.0,1.9459101490553132,0.0
nagaland,4,209.0,4,209.0,-205.0,1.6094379124341003,5.3471075307174685
odisha,90,1244.0,90,1244.0,-1154.0,4.51085950651685,7.126890808898808
puducherry,2,384.0,2,384.0,-382.0,1.0986122886681098,5.953243334287785
punjab,95,1592.0,95,1592.0,-1497.0,4.564348191467836,7.373374309910049
rajasthan,98,5571.0,98,5571.0,-5473.0,4.59511985013459,8.625509334899697
sikkim,3,0.0,3,0.0,3.0,1.3862943611198906,0.0
tamil nadu,120,9843.0,120,9843.0,-9723.0,4.795790545596741,9.194617411510947
telangana,29,0.0,29,0.0,29.0,3.4011973816621555,0.0
tripura,2,1441.0,2,1441.0,-1439.0,1.0986122886681098,7.273786317844895
uttar pradesh,98,17385.0,98,17385.0,-17287.0,4.59511985013459,9.76342056363901
uttarakhand,25,58.0,25,58.0,-33.0,3.258096538021482,4.07753744390572
west bengal,78,7193.0,78,7193.0,-7115.0,4.3694478524670215,8.881002624255569
