State,Dilapidated_Houses_%,Good_Houses_%,Mining_Observations
Andaman and Nicobar Islands,2.085,69.3,0.0
Andhra Pradesh,1.845,75.435,0.0
Arunachal Pradesh,3.695,57.415000000000006,0.0
Assam,6.095000000000001,55.45,0.0
Bihar,7.47,53.635,193.0
Chandigarh,3.165,69.78999999999999,0.0
Chhattisgarh,2.73,62.199999999999996,0.0
Delhi,4.09,62.48,0.0
Goa,2.645,72.71000000000001,1.0
Gujarat,1.4,71.88499999999999,3.0
Haryana,3.625,60.78,0.0
Himachal Pradesh,2.0949999999999998,76.7,1.0
Jammu and Kashmir,2.775,64.00999999999999,0.0
Jharkhand,4.06,59.76,3.0
Karnataka,2.635,65.405,18.0
Kerala,4.82,68.61,0.0
Ladakh,2.775,64.00999999999999,0.0
Lakshadweep,0.83,82.72,0.0
Madhya Pradesh,2.92,65.545,43.0
Maharashtra,2.455,67.87,6.0
Manipur,4.09,62.775000000000006,0.0
Meghalaya,3.625,65.205,0.0
Mizoram,1.275,66.63,0.0
Nagaland,3.1599999999999997,55.82,0.0
Odisha,6.82,48.894999999999996,3.0
Puducherry,0.8999999999999999,85.64500000000001,0.0
Punjab,4.53,60.629999999999995,0.0
Rajasthan,2.045,65.64,8.0
Sikkim,1.63,83.045,0.0
Tamil Nadu,0.95,83.17,0.0
Telangana,1.845,75.435,0.0
The Dadra and Nagar Haveli and Daman and Diu,1.0011856156953691,73.25881298159646,0.0
Tripura,4.24,62.615,0.0
Uttar Pradesh,4.26,55.94,48.0
Uttarakhand,2.915,72.68,0.0
West Bengal,6.54,55.645,48.0
