city,2010,2011,2012,2013,2014,total_crimes
Kochi,3828.6000000000004,3317.6000000000004,1677.5,1325.6,1710.8,11860.1
Indore,2003.1,1563.3,1802.9,1965.7,2288.0,9623.0
Jaipur,1697.0,1464.1,1460.8999999999999,1916.0,2188.5,8726.5
Bhopal,1865.4,1520.8000000000002,1449.6,1426.8000000000002,1776.8,8039.400000000001
Gwalior,0.0,1670.1,1636.1,1746.4,2173.7000000000003,7226.300000000001
Patna,1208.9,1060.5,1242.2,1639.1,1976.6,7127.300000000001
Vijayawada,1390.4,1283.2,1348.9,1594.7,1475.2,7092.400000000001
Jabalpur,1242.6,1168.2,1277.4,1268.5,1634.4,6591.1
Delhi,941.3,773.3,787.1,1239.1999999999998,2506.9,6247.799999999999
Kollam,0.0,1277.2,1390.8,1512.3,1943.8,6124.1
Vadodara,838.3,737.8,813.0,1531.5,1576.8,5497.4
Durg-Bhilainagar,0.0,1527.9,1327.4,1252.1,1340.8,5448.2
Agra,914.2,1245.8,991.3,975.2,1128.1,5254.6
Raipur,0.0,1275.1,1217.5,1389.6999999999998,1366.4,5248.7
Faridabad,1153.0,965.5,913.4,967.3,1206.8999999999999,5206.099999999999
Bengaluru,1343.5,866.8,841.7,880.2,989.6,4921.8
Thiruvananthapuram,0.0,881.0999999999999,936.4,1292.5,1637.1000000000001,4747.1
Vishakhapatnam,1209.8000000000002,692.9,639.0,947.5,1151.0,4640.200000000001
Lucknow,1076.1,730.7,756.6,975.0999999999999,1100.7,4639.2
Kota,0.0,1011.6,955.1,1215.4,1365.8,4547.900000000001
Meerut,716.3,782.2,790.1,960.9,1250.1999999999998,4499.7
Nagpur,842.0,767.7,791.3,926.1,1125.6,4452.7
Jodhpur,0.0,903.0999999999999,950.0,1247.3,1318.6,4419.0
Coimbatore,662.1,425.1,1000.3,1695.5,445.20000000000005,4228.2
Ahmedabad,1078.3,736.8,769.3,784.0999999999999,586.8,3955.2999999999993
Nasik,968.7,736.8,658.0,663.5,668.6,3695.6
Asansol,402.79999999999995,663.6,754.0,915.8,944.5,3680.7
Ranchi,0.0,835.0,895.9,858.8,1064.5,3654.2
Rajkot,934.6,665.0,729.1,611.7,655.7,3596.0999999999995
Pune,871.8,620.1,598.0,654.9000000000001,814.1999999999999,3559.0
Chandigarh,0.0,809.0,850.4,1027.6,851.3000000000001,3538.3
Aurangabad,0.0,753.8,734.5,862.1,1123.6,3474.0
Allahabad,451.3,555.2,564.3,806.3,1018.5,3395.6
Surat,600.4000000000001,426.9,462.5,1134.3000000000002,282.6,2906.7000000000003
Jamshedpur,572.5,427.2,569.2,700.4,632.6,2901.9
Hyderabad,747.6,494.4,495.0,515.9,626.0,2878.9
Thrissur,0.0,563.0999999999999,715.7,732.7,780.6,2792.1
Ghaziabad,0.0,605.6,574.5,717.3,801.1999999999999,2698.6
Ludhiana,607.1,408.2,460.0,499.2,636.0999999999999,2610.6
India,436.3,448.29999999999995,459.4,532.9,602.5,2479.4
Mumbai,513.1,446.8,414.6,479.7,610.1999999999999,2464.4
Kanpur,606.1,647.3,383.8,344.29999999999995,471.3,2452.8
Madurai,501.5,439.1,499.5,462.20000000000005,519.5,2421.8
Tiruchirappalli,0.0,552.7,619.7,581.1,666.9000000000001,2420.4
Chennai,367.79999999999995,537.5,498.2,441.5,446.4,2291.4
Srinagar,0.0,560.8,533.5,583.3,589.9,2267.5
Varanasi,412.1,334.6,381.9,590.0999999999999,504.2,2222.8999999999996
Vasai-Virar,0.0,336.4,449.6,523.3,709.0,2018.3
Amritsar,414.2,362.79999999999995,397.6,345.0,457.1,1976.6999999999998
Kolkata,271.4,284.1,425.8,445.0,460.90000000000003,1887.2
Kozhikode,0.0,449.7,453.79999999999995,431.6,545.5,1880.6
Dhanbad,243.2,292.8,314.1,327.8,354.6,1532.5
Kannur,0.0,314.0,350.70000000000005,266.1,277.6,1208.4
Malappuram,0.0,308.6,264.2,271.3,330.2,1174.3
