State,Good,Liveable,Dilapidated
Andaman and Nicobar Islands,69.3,28.615000000000002,2.085
Andhra Pradesh,75.435,22.72,1.845
Arunachal Pradesh,57.415000000000006,38.894999999999996,3.695
Assam,55.45,38.455,6.095000000000001
Bihar,53.635,38.894999999999996,7.47
Chandigarh,69.78999999999999,27.04,3.165
Chhattisgarh,62.199999999999996,35.07,2.73
Delhi,62.48,33.425,4.09
Goa,72.71000000000001,24.645,2.645
Gujarat,71.88499999999999,26.71,1.4
Haryana,60.78,35.595,3.625
Himachal Pradesh,76.7,21.2,2.0949999999999998
Jammu and Kashmir,64.00999999999999,33.215,2.775
Jharkhand,59.76,36.18,4.06
Karnataka,65.405,31.96,2.635
Kerala,68.61,26.57,4.82
Ladakh,64.00999999999999,33.215,2.775
Lakshadweep,82.72,16.455,0.83
Madhya Pradesh,65.545,31.534999999999997,2.92
Maharashtra,67.87,29.665,2.455
Manipur,62.775000000000006,33.14,4.09
Meghalaya,65.205,31.17,3.625
Mizoram,66.63,32.095,1.275
Nagaland,55.82,41.019999999999996,3.1599999999999997
Odisha,48.894999999999996,44.285,6.82
Puducherry,85.64500000000001,13.46,0.8999999999999999
Punjab,60.629999999999995,34.84,4.53
Rajasthan,65.64,32.315,2.045
Sikkim,83.045,15.325,1.63
Tamil Nadu,83.17,15.88,0.95
Telangana,75.435,22.72,1.845
The Dadra and Nagar Haveli and Daman and Diu,73.25881298159646,25.74321393169746,1.0011856156953691
Tripura,62.615,33.144999999999996,4.24
Uttar Pradesh,55.94,39.805,4.26
Uttarakhand,72.68,24.405,2.915
West Bengal,55.645,37.81,6.54
