State_clean,mining_incidents,log_mining,Dilapidated,Good,Liveable,housing_quality_index
andhra pradesh,99,4.605170185988092,1.845,75.435,22.72,73.59
assam,62,4.143134726391533,6.095000000000001,55.45,38.455,49.355000000000004
bihar,72,4.290459441148391,7.47,53.635,38.894999999999996,46.165
chandigarh,1,0.6931471805599453,3.165,69.78999999999999,27.04,66.62499999999999
chhattisgarh,14,2.70805020110221,2.73,62.199999999999996,35.07,59.47
goa,94,4.553876891600541,2.645,72.71000000000001,24.645,70.06500000000001
gujarat,114,4.74493212836325,1.4,71.88499999999999,26.71,70.48499999999999
haryana,69,4.248495242049359,3.625,60.78,35.595,57.155
himachal pradesh,27,3.332204510175204,2.0949999999999998,76.7,21.2,74.605
jharkhand,45,3.828641396489095,4.06,59.76,36.18,55.699999999999996
karnataka,94,4.553876891600541,2.635,65.405,31.96,62.77
kerala,60,4.110873864173311,4.82,68.61,26.57,63.79
madhya pradesh,279,5.634789603169249,2.92,65.545,31.534999999999997,62.625
maharashtra,182,5.209486152841421,2.455,67.87,29.665,65.415
manipur,8,2.1972245773362196,4.09,62.775000000000006,33.14,58.685
meghalaya,6,1.9459101490553132,3.625,65.205,31.17,61.58
nagaland,4,1.6094379124341003,3.1599999999999997,55.82,41.019999999999996,52.660000000000004
odisha,90,4.51085950651685,6.82,48.894999999999996,44.285,42.074999999999996
puducherry,2,1.0986122886681098,0.8999999999999999,85.64500000000001,13.46,84.745
punjab,95,4.564348191467836,4.53,60.629999999999995,34.84,56.099999999999994
rajasthan,98,4.59511985013459,2.045,65.64,32.315,63.595
sikkim,3,1.3862943611198906,1.63,83.045,15.325,81.415
tamil nadu,120,4.795790545596741,0.95,83.17,15.88,82.22
telangana,29,3.4011973816621555,1.845,75.435,22.72,73.59
tripura,2,1.0986122886681098,4.24,62.615,33.144999999999996,58.375
uttar pradesh,98,4.59511985013459,4.26,55.94,39.805,51.68
uttarakhand,25,3.258096538021482,2.915,72.68,24.405,69.765
west bengal,78,4.3694478524670215,6.54,55.645,37.81,49.105000000000004
